"HolderAddress","Unique Tokens","Quantity","PendingBalanceUpdate"
"0x942fec89e62c34ecfb26694654bec567fbdf68b5","1","1","No"
"0x0f8aca6bb8d86bba87892efab1e19491c97387b7","1","1","No"
"0xe331b5a8f814cee021c2a483122aeeda1d60db55","1","1","No"
"0xa9f078b3b6dd6c04308f19def394b6d5a1b8b732","1","1","No"
"0x5eb2af0a5c8c61b727d6c617f60da4361cd85732","1","1","No"
"0x260ead7837df1e2618dfcaed24c920287ec49e7a","1","1","No"
"0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9","1","1","No"
"0x9610cc87fd506d3d964993da5bb8f260e934b871","1","1","No"
"0x3ad33c43b4008b1be3674700294a7fe9d80328f8","1","1","No"
"0xad192a9eaee1e342cabb1cd32f01de3b77d8598f","1","1","No"
"0x0ce15b159dde11810d63e6e9817535396f173bfc","1","1","No"
"0x9f5141e8715c6691e75188bda726df54c14721e4","1","1","No"
"0xec6ba66a6d19fc4b6e123fbdba59e310d6d767e0","1","1","No"
"0xdfeddc98ae6edcb5f63178a8589f41b6477f6c42","1","1","No"
"0x7839423f763a4214cb812ae16123dfbee8dce4ff","1","1","No"
"0x94d8bb9d573b66f7d212830cab060f91a322db64","1","1","No"
"0x167dd1517b4ca5520aee35ca680b7080bbc1f75e","1","1","No"
"0x018483563379483a7c222425d4cfd7dfb21c1890","1","1","No"
"0x1bfda4d1bd8a28cab70f53d30ba7fa2a10d2c221","1","1","No"
"0xde055950ccaaf115c8d76b33e6503ee403875ccb","1","1","No"
"0xe65117382eed1d022f68cb1583dc6f95c62b8ad0","1","1","No"
"0xbcdde113e0be48145d119f6ec87a78582cd1398c","1","1","No"
"0xcc959de52730519bd55d99ff3303d7992393504f","1","1","No"
"0x6fd64b2555fa6d1bf8564f728da7eae8ad1397b1","1","1","No"
"0x8f862ce117a3feebc1dc364e02db35ae125d7f40","1","1","No"
"0x2de944255b054466e125da744a213895a3b3cb93","1","1","No"
"0xc120ab7977bdda3b57f191dbf41a1af7da794baa","1","1","No"
"0x00ae3db5418f6eac5305e72ecc853838e9ed3837","1","1","No"
"0x8aa4243ef5fe3d6ebe375fa6d47a710266cb0caf","1","1","No"
"0x3082f27581a2449268a14af56d810cacd9984ec1","1","1","No"
"0xfeeaa6a2ae0d4a15e947afc71dc249a29dc2778d","1","1","No"
"0xf9868b3960348194371b8ca4fe87ca7de95e40b6","1","1","No"
"0xc8c6bed3c421d3b5ddd0627c7d3ad1f95eab2d67","1","1","No"
"0xff1882511a5673194b252c35f2530562f74f47e4","1","1","No"
"0x543f3b7233f461935255ba32f71b9d910f91f6a0","1","1","No"
"0xe0c5c8c0247113a2af9932b5b6266ce1c45e2d72","1","1","No"
"0x9e3144d34eb9cf57f9a217fbd2f98fc2195d5759","1","1","No"
"0x799d99103868cda7422995acceb36df2ca646a38","1","1","No"
"0x5cfe3a15c0f55b8c087d5063258a49e20784de8e","1","1","No"
"0x8a7030a42d4e461684ef62df6f3f168cfb39e782","1","1","No"
"0xf9e67e79d364c6b0f65b789deab8130bd708c9f9","1","1","No"
"0x343863716ac003a71c7b1e04f78266c51ec8c5ae","1","1","No"
"0x7798ba9512b5a684c12e31518923ea4221a41fb9","1","1","No"
"0xfb408fa20c6f6da099a7492107bc3531911896e3","1","1","No"
"0xa931d7bdfd8cf6506ccf8e873e6fc60dab6e5a66","1","1","No"
"0xa02cdcdd24268984c93cef0e68aad0b17e72b56a","1","1","No"
"0xde013b8cced7a7fce0a54c455c108edbdd3a72a8","1","1","No"
"0xcbfecdd87173f2b2cf63d5c36c78b680d2ab13a8","1","1","No"
"0xe3e202b2cac2b3ec41219c69fe0d2352b19cef69","1","1","No"
"0x6cd8af7445296213db504e3631ae66b3808c4829","1","1","No"
"0x0e024cdba8377acf2d83e23090e27f5f8f490497","1","1","No"
"0x945add11d1d6f179fb2fecf1521495a747010afc","1","1","No"
"0x91e41069f5300128bbdeed94659a3fe28499ff1e","1","1","No"
"0xcbd160fb58398749c5f731e1d08f21dc1d728168","1","1","No"
"0x9f5b8f8fcc32712d32644add0b23978d56af3e2d","1","1","No"
"0x51aeb544c49ea8cc11e7421ac870019d628f8ba2","1","1","No"
"0x8a01c36c1af154e0573bbe155fe3a053e3d3ae78","1","1","No"
"0x394bc1ee5687397b354943516d04f07b28967ff3","1","1","No"
"0x2e32935bfd5b2718f99bc8fdf8b37c16811f7d97","1","1","No"
"0xe63e5ee3112e3b78351e051ab07645a682d9a6e5","1","1","No"
"0x475681f0e12606cf8f97743c1d4558c06a287840","1","1","No"
"0x9d819695056bb1a372f9e715af5ec4c79595b67c","1","1","No"
"0x6b1840ac04d98480168d794aa101035eac1edb71","1","1","No"
